title,rating,date,body,helpfulVotes,review_type,reviewText_clean,sentiment
"3.0 out of 5 stars







  
  
    Look Out for installed apps that you have to sign into to get your email working",3.0,"Reviewed in the United States on November 23, 2021","I've been an Amazon member for over 10 years, purchasing several computers without a problem.  This time my new HP has been a big problem. out of the box it has performed very poorly, that I have had for yearsl!!  However, it seems your supplier has installed ""free"" apps that require ""sign ins"" which are very onerous, still can not get in my Yahoo email account ( I bought a new Dell a few months ago without a problem; almost threw my new HP in the pool. I suspect your Asian partners had something to do with this! Otherwise I like this computer very much and of course appreciate Amazon.",3,all,"I've been an Amazon member for over 10 years, purchasing several computers without a problem. This time my new HP has been a big problem. out of the box it has performed very poorly, that I have had for yearsl!! However, it seems your supplier has installed ""free"" apps that require ""sign ins"" which are very onerous, still can not get in my Yahoo email account ( I bought a new Dell a few months ago without a problem; almost threw my new HP in the pool. I suspect your Asian partners had something to do with this! Otherwise I like this computer very much and of course appreciate Amazon.",0
"1.0 out of 5 stars







  
  
    Worked okay for 15-days",1.0,"Reviewed in the United States on May 17, 2022","I bought this 15-days ago.  It worked fine for the first 14-days.  I bought it just to browse the web and run a Pico Oscilloscope, it did both very well.  On the fifteen day I started the computer and Nord VPN, which starts automatically, wouldn't start.  Instead, I got ""Runtime error 5:252"".  I looked on line for a solution and found that I should reload Nord VPN, but first I chatted with Nord; they couldn't help me and suggested I remove the APP and re-install.  I did, I removed the Nord APP, but on trying to re-install I got the same Runtime Error 5:252.  Then I tried to start my Oscilloscope APP and it wouldn't start, and I got the same Runtime Error 5:252.  So I looked to see if my windows was up to date, it is.  Looking online again, it was suggested to reload Windows itself; I did.  I then tried to reload Nord and got the same Runtime Error.  So, it's likely the computer itself.  I know this is a cheap computer, but I wasn't expecting much, and it did everything I wanted it to do, except keep running for more then 14-days. I'm tired of MS computers, they're always broken, and I spend too much time fixing and reinstalling drivers and software, etc... I swore I never would, but I'm looking to buy an Apple now.",3,all,"I bought this 15-days ago. It worked fine for the first 14-days. I bought it just to browse the web and run a Pico Oscilloscope, it did both very well. On the fifteen day I started the computer and Nord VPN, which starts automatically, wouldn't start. Instead, I got ""Runtime error 5:252"". I looked on line for a solution and found that I should reload Nord VPN, but first I chatted with Nord; they couldn't help me and suggested I remove the APP and re-install. I did, I removed the Nord APP, but on trying to re-install I got the same Runtime Error 5:252. Then I tried to start my Oscilloscope APP and it wouldn't start, and I got the same Runtime Error 5:252. So I looked to see if my windows was up to date, it is. Looking online again, it was suggested to reload Windows itself; I did. I then tried to reload Nord and got the same Runtime Error. So, it's likely the computer itself. I know this is a cheap computer, but I wasn't expecting much, and it did everything I wanted it to do, except keep running for more then 14-days. I'm tired of MS computers, they're always broken, and I spend too much time fixing and reinstalling drivers and software, etc... I swore I never would, but I'm looking to buy an Apple now.",0
"3.0 out of 5 stars







  
  
    Not bad",3.0,"Reviewed in the United States on November 19, 2022","Great looking device. I'm a writer, so I'm always on the computer. I have to charge daily, I'm not sure if it's me or if the charge just isn't working. Also,the mouse jumps. I spend a lot of time praying that I don't accidentally erase my content. Otherwise, it's a decent laptop for the money. Wish it had a disk drive.",1,all,"Great looking device. I'm a writer, so I'm always on the computer. I have to charge daily, I'm not sure if it's me or if the charge just isn't working. Also,the mouse jumps. I spend a lot of time praying that I don't accidentally erase my content. Otherwise, it's a decent laptop for the money. Wish it had a disk drive.",0
"5.0 out of 5 stars







  
  
    Nice little compter",5.0,"Reviewed in the United States on April 6, 2024",Works Well for What I needed it for.,0,all,Works Well for What I needed it for.,1
"4.0 out of 5 stars







  
  
    Pretty average",4.0,"Reviewed in the United States on July 18, 2022",Works pretty well. Graphics not spectacular but ok as long as you don't push it with a game it is fine.For the money it is a good value.,3,all,Works pretty well. Graphics not spectacular but ok as long as you don't push it with a game it is fine.For the money it is a good value.,1
"3.0 out of 5 stars







  
  
    only runs Microsoft products",3.0,"Reviewed in the United States on January 14, 2024",I wish they would have mentioned that,0,all,I wish they would have mentioned that,0
"2.0 out of 5 stars







  
  
    Never could disable S Mode",2.0,"Reviewed in the United States on July 14, 2022","For those who don’t know, Windows S Mode essentially stops you from installing anything other than apps purchased directly from the Windows store. That means no Google Chrome browser, no Kapersky antivirus, etc.You are *supposed* to be able to easily disable S Mode in Windows, but HP has apparently disabled that option on this model laptop.I spent hours trying to disable it, watching every Youtube video, reading every Microsoft help document, etc. I did system recovery. I tried everything I could think of, to no avail.This was supposed to be a gift for my girlfriend, so she could work remotely. But since I couldn’t disable S Mode, there’s no way for her office to install their software clients on it. So it became pointless.Avoid this mode unless you want a crippled computer.",2,all,"For those who don’t know, Windows S Mode essentially stops you from installing anything other than apps purchased directly from the Windows store. That means no Google Chrome browser, no Kapersky antivirus, etc.You are *supposed* to be able to easily disable S Mode in Windows, but HP has apparently disabled that option on this model laptop.I spent hours trying to disable it, watching every Youtube video, reading every Microsoft help document, etc. I did system recovery. I tried everything I could think of, to no avail.This was supposed to be a gift for my girlfriend, so she could work remotely. But since I couldn’t disable S Mode, there’s no way for her office to install their software clients on it. So it became pointless.Avoid this mode unless you want a crippled computer.",0
"5.0 out of 5 stars







  
    Quiero seguir comprando pero el envío a Colombia no sale disponible.",5.0,"Reviewed in the United States on January 28, 2024",Exelente equipo. Me gustaría seguir comprando pero el envío a mi país ya no está disponible.,0,all,Exelente equipo. Me gustaría seguir comprando pero el envío a mi país ya no está disponible.,1
"4.0 out of 5 stars







  
  
    Computer works great till recently it keeps glitching",4.0,"Reviewed in the United States on December 12, 2022",Computer works great till recently and it keeps glitching with it sound,0,all,Computer works great till recently and it keeps glitching with it sound,1
"5.0 out of 5 stars







  
  
    Price is very affordable",5.0,"Reviewed in the United States on December 23, 2022",For the price ($119) it's a no brainier. I got it used but it came in excellent condition and I upgraded its ram from 4GB to 8GB. It's a great laptop with a powerful enough CPU (AMD 3020e) and the touchscreen is very responsive.,0,all,For the price ($119) it's a no brainier. I got it used but it came in excellent condition and I upgraded its ram from 4GB to 8GB. It's a great laptop with a powerful enough CPU (AMD 3020e) and the touchscreen is very responsive.,1
"4.0 out of 5 stars







  
  
    Windows 10 is awful!",4.0,"Reviewed in the United States on March 22, 2022","The laptop itself is great, but Windows 10 is awful! Spend wasted time closing the Edge browser that continually pops up. Should have gone with a Google chrome book!",2,all,"The laptop itself is great, but Windows 10 is awful! Spend wasted time closing the Edge browser that continually pops up. Should have gone with a Google chrome book!",1
"3.0 out of 5 stars







  
  
    Forever to start. $70 cheaper at Walmart",3.0,"Reviewed in the United States on October 12, 2021","It's nice enough. Touch screen works well. WAY CHEAPER AT WALMART. I was an idiot and purchased it on Amazon before looking around for it. $218 at Walmart $289 from this seller in Amazon. Also it takes forever to start up. Between 3 and 4 minutes. To me that seems like forever. I wouldn't say I am happy I picked this laptop, but at the same time, I'm not losing sleep over my purchase either, except maybe paying to much for it.",13,all,"It's nice enough. Touch screen works well. WAY CHEAPER AT WALMART. I was an idiot and purchased it on Amazon before looking around for it. $218 at Walmart $289 from this seller in Amazon. Also it takes forever to start up. Between 3 and 4 minutes. To me that seems like forever. I wouldn't say I am happy I picked this laptop, but at the same time, I'm not losing sleep over my purchase either, except maybe paying to much for it.",0
"4.0 out of 5 stars







  
  
    Good laptop, cheaper at Walmart though",4.0,"Reviewed in the United States on October 16, 2021","Super cute, very functional, and light weight. Had to change the windows setting to download the app I bought the laptop for which wasn't difficult but had to research how to first. Did find it for $80+ cheaper at Walmart though.",3,all,"Super cute, very functional, and light weight. Had to change the windows setting to download the app I bought the laptop for which wasn't difficult but had to research how to first. Did find it for $80+ cheaper at Walmart though.",1
"3.0 out of 5 stars







  
  
    Windows 11?",3.0,"Reviewed in the United States on February 2, 2022",Came with windows 11 s. Not what is advertised as 10 s. This was an emergency replacement so the unexpected learning curve was not desired.There is also 3.3 stars for a touch screen even though it doesn't have one. May be another clue as to what it used to be.it is getting the job done and is buying time for a more appropriate purchase.,3,all,Came with windows 11 s. Not what is advertised as 10 s. This was an emergency replacement so the unexpected learning curve was not desired.There is also 3.3 stars for a touch screen even though it doesn't have one. May be another clue as to what it used to be.it is getting the job done and is buying time for a more appropriate purchase.,0
"3.0 out of 5 stars







  
  
    NO touch screen. Battery life has not been great but reset somethings...",3.0,"Reviewed in the United States on September 10, 2023",weird somethings say has touch screen & some say does not????,1,all,weird somethings say has touch screen & some say does not????,0
"4.0 out of 5 stars







  
  
    Nice laptop that is missing a few features",4.0,"Reviewed in the United States on April 7, 2022",It's a nice little laptop however it lacks and ethernet connection slot and no DVD slot.,1,all,It's a nice little laptop however it lacks and ethernet connection slot and no DVD slot.,1
"5.0 out of 5 stars







  
  
    Excelent notebook for office and networking!",5.0,"Reviewed in the United States on May 10, 2023","Ideal laptop for office work, It came windows 11 installed and free office 365. Long battery life, you can watch hours of youtube videos.",0,all,"Ideal laptop for office work, It came windows 11 installed and free office 365. Long battery life, you can watch hours of youtube videos.",1
"1.0 out of 5 stars







  
  
    Defective Wifi, HORRIBLE customer service, Can't AMAZON Return,",1.0,"Reviewed in the United States on November 5, 2021","Wifi starts stalling every 3 hours or so, have to restart computer each time to fix it. Normally Amazon can just return it, but not for this!!! Amazon gave me their customer service email and it was not a working one, I try to contact their customer service on their website and the customer service page isn't working. So I go to Amazon customer service for returns. I've been shopping on Amazon since 2001 (yes it's been at least 20 years) and I have NEVER had such trouble returning this even when the Amazon says that defective laptops can be returned, they ask for an email proof from HP saying that won't take the return, but HP cannot email me, so I gave Amazon an audio recording of the HP rep saying they can't take my return since I bought it on Amazon and not directly through them. Buying this laptop on Amazon has wasted at least 3 hours of my limited mortal life.  WORST laptop AND Amazon customer service experience ever!  Don't make my mistake, stay away.",5,all,"Wifi starts stalling every 3 hours or so, have to restart computer each time to fix it. Normally Amazon can just return it, but not for this!!! Amazon gave me their customer service email and it was not a working one, I try to contact their customer service on their website and the customer service page isn't working. So I go to Amazon customer service for returns. I've been shopping on Amazon since 2001 (yes it's been at least 20 years) and I have NEVER had such trouble returning this even when the Amazon says that defective laptops can be returned, they ask for an email proof from HP saying that won't take the return, but HP cannot email me, so I gave Amazon an audio recording of the HP rep saying they can't take my return since I bought it on Amazon and not directly through them. Buying this laptop on Amazon has wasted at least 3 hours of my limited mortal life. WORST laptop AND Amazon customer service experience ever! Don't make my mistake, stay away.",0
"5.0 out of 5 stars







  
  
    Technology at your fingertip!",5.0,"Reviewed in the United States on June 12, 2022","We liked the price, the length of the battery life, the sturdiness of the case, and most of all, the touch screen feature.  Setting up and personalizing was easy as was navigating to learn the how to's of this lap top",3,all,"We liked the price, the length of the battery life, the sturdiness of the case, and most of all, the touch screen feature. Setting up and personalizing was easy as was navigating to learn the how to's of this lap top",1
"3.0 out of 5 stars







  
    Problema con bocina de laptop",3.0,"Reviewed in the United States on July 25, 2021","The media could not be loaded.
                
            
                
            
        
    
    








  
    Descubrí que el audio se distorsiona, como si fuera problema de la bocina, al reproducir cualquier tipo de audio se escucha muy mal. No había utilizado mucho la pc por ello no me había percatado, ya hice pruebas con diferentes vídeos y audios y conexiones.",1,all,"The media could not be loaded. Descubrí que el audio se distorsiona, como si fuera problema de la bocina, al reproducir cualquier tipo de audio se escucha muy mal. No había utilizado mucho la pc por ello no me había percatado, ya hice pruebas con diferentes vídeos y audios y conexiones.",0
"5.0 out of 5 stars







  
  
    Good Product",5.0,"Reviewed in the United States on November 3, 2023",The product is just what I expected. Thanks!,0,all,The product is just what I expected. Thanks!,1
"3.0 out of 5 stars







  
  
    Slow",3.0,"Reviewed in the United States on March 3, 2023",Home use only.  Do not recommendVery slow.  No cd slot,2,all,Home use only. Do not recommendVery slow. No cd slot,0
"2.0 out of 5 stars







  
  
    Know What You are Purchasing... You get what you pay for!",2.0,"Reviewed in the United States on April 24, 2022","First, the computer will work for my application.  I bought it to run the driver on a CNC Plasma table (Langmuir Crossfire).  As a computer for anything else, it is almost worthless.  The track pad for click and drag is unusable - sporadic and hard pressure is required to drag.  The computer is abysmally slow, both loading and running programs.  There is an appreciable hesitation when clicking on anything.  Even cruising the web is frustratingly difficult due to the hesitations and track pad.  The touch screen works fine though.",0,all,"First, the computer will work for my application. I bought it to run the driver on a CNC Plasma table (Langmuir Crossfire). As a computer for anything else, it is almost worthless. The track pad for click and drag is unusable - sporadic and hard pressure is required to drag. The computer is abysmally slow, both loading and running programs. There is an appreciable hesitation when clicking on anything. Even cruising the web is frustratingly difficult due to the hesitations and track pad. The touch screen works fine though.",0
"2.0 out of 5 stars







  
  
    Slower than molasses",2.0,"Reviewed in the United States on January 15, 2024",Worst laptop I’ve ever owned. Back to a dell I go. This is painfully slow. Another reviewer said 1998 slow and I felt that in my impatiently tapping fingers. It’s awful. Battery life stinks. Not worth the hassle.,0,all,Worst laptop I’ve ever owned. Back to a dell I go. This is painfully slow. Another reviewer said 1998 slow and I felt that in my impatiently tapping fingers. It’s awful. Battery life stinks. Not worth the hassle.,0
"5.0 out of 5 stars







  
  
    HP+Microsoft Extremely Great Deal!",5.0,"Reviewed in the United States on April 29, 2021","This was a gift for a young friend, in his favorite color. It was the right size whiegh. Its features are great (touch screen, etc). What totally brought together all the best of this HP laptop, was that it came with a year's subscription for Microdoft365. Bammmm!!! Made a good deal GREAT.",5,all,"This was a gift for a young friend, in his favorite color. It was the right size whiegh. Its features are great (touch screen, etc). What totally brought together all the best of this HP laptop, was that it came with a year's subscription for Microdoft365. Bammmm!!! Made a good deal GREAT.",1
"4.0 out of 5 stars







  
  
    Works well",4.0,"Reviewed in the United States on November 3, 2021",I hate windows 11 chose to opt out of that and no problems,0,all,I hate windows 11 chose to opt out of that and no problems,1
"5.0 out of 5 stars







  
  
    It met a need. I should be happy",5.0,"Reviewed in the United States on May 17, 2022",Just got this evening. It auto update put on 11. I wasnt happy about that. Not a change kinda person. Loaded quick easy to use. Guess for an hour in im happy,1,all,Just got this evening. It auto update put on 11. I wasnt happy about that. Not a change kinda person. Loaded quick easy to use. Guess for an hour in im happy,1
"4.0 out of 5 stars







  
  
    Lightweight easy to use",4.0,"Reviewed in the United States on April 12, 2021",Love my new laptop needed it for school it's lightweight and easy to use,0,all,Love my new laptop needed it for school it's lightweight and easy to use,1
"5.0 out of 5 stars







  
  
    Compact and light",5.0,"Reviewed in the United States on September 10, 2021",I am happy with the computer.  It is what I thought it would be. However. The 2nd time I used it the keyboard crashed.  HP service was great.  They even called me back to make sure it was working,2,all,I am happy with the computer. It is what I thought it would be. However. The 2nd time I used it the keyboard crashed. HP service was great. They even called me back to make sure it was working,1
"3.0 out of 5 stars







  
    Espere algo mejor",3.0,"Reviewed in the United States on August 12, 2022",No tienen descargado nada solo la uso para trabajar en Excel y ya se queda pegada en todo,2,all,No tienen descargado nada solo la uso para trabajar en Excel y ya se queda pegada en todo,0
"3.0 out of 5 stars







  
  
    misinformation",3.0,"Reviewed in the United States on March 28, 2021","Office and dropbox is not free for a year. It is 14 days. why would you tell us that? Really pisses me off. I would have looked further if I knew this, it is one of the reasons I bought this computer.",0,all,"Office and dropbox is not free for a year. It is 14 days. why would you tell us that? Really pisses me off. I would have looked further if I knew this, it is one of the reasons I bought this computer.",0
"1.0 out of 5 stars







  
  
    Pretty trash",1.0,"Reviewed in the United States on December 14, 2023",This is the worst laptop I have ever used. Got it September and it still willl not charge to a full battery. It takes forever toCome on and when it does there’s a message telling you the port is lost . Google never pops up. I need a refund. Just sad . But now my return window closed. I haven’t tried to use the damn thing but four times and it’s the same thing everytime. I think  they got me good for $240 .,0,all,This is the worst laptop I have ever used. Got it September and it still willl not charge to a full battery. It takes forever toCome on and when it does there’s a message telling you the port is lost . Google never pops up. I need a refund. Just sad . But now my return window closed. I haven’t tried to use the damn thing but four times and it’s the same thing everytime. I think they got me good for $240 .,0
"5.0 out of 5 stars







  
  
    Most affordable laptop I've come across!",5.0,"Reviewed in the United States on December 13, 2021",For the performance you'll get you can't beat the price. If you're looking for a gaming laptop you might want to keep looking. I'll keep you guys posted if it's good for gaming.,4,all,For the performance you'll get you can't beat the price. If you're looking for a gaming laptop you might want to keep looking. I'll keep you guys posted if it's good for gaming.,1
"5.0 out of 5 stars







  
  
    works well",5.0,"Reviewed in the United States on November 25, 2021","I'm not a pc person, but need this for a specific program. It is a lot easier to use than pcs of the past, because it is more like a mac! HaHa",3,all,"I'm not a pc person, but need this for a specific program. It is a lot easier to use than pcs of the past, because it is more like a mac! HaHa",1
"4.0 out of 5 stars







  
  
    Piece of junk",4.0,"Reviewed in the United States on May 1, 2021",Used 2x and screen quit working,0,all,Used 2x and screen quit working,1
"4.0 out of 5 stars







  
  
    Bien",4.0,"Reviewed in the United States on May 13, 2021",Buena laptop.me gusto.,0,all,Buena laptop.me gusto.,1
"5.0 out of 5 stars







  
  
    Rose Gold",5.0,"Reviewed in the United States on May 7, 2021","The screen quality is decent, it’s not touch screen but I am able to play sims on it. It’s a good laptop especially for a refurbished laptop it runs well.",7,all,"The screen quality is decent, it’s not touch screen but I am able to play sims on it. It’s a good laptop especially for a refurbished laptop it runs well.",1
"5.0 out of 5 stars







  
  
    HP LAPTOP",5.0,"Reviewed in the United States on May 20, 2022",I love it. Its light and I can carry it anywhere. I was able to connect device with no problems,1,all,I love it. Its light and I can carry it anywhere. I was able to connect device with no problems,1
"2.0 out of 5 stars







  
    No funciona",2.0,"Reviewed in the United States on October 1, 2023","No funciono correctamente, no dejaba guardar los trabajos en mi memoria externa. Demasiado lenta para poder hacer trabajos de la universidad.",0,all,"No funciono correctamente, no dejaba guardar los trabajos en mi memoria externa. Demasiado lenta para poder hacer trabajos de la universidad.",0
"3.0 out of 5 stars







  
  
    not  what i  expected",3.0,"Reviewed in the United States on March 3, 2022",kind of of  flimsy  not  of usb  ports sending back  awful,0,all,kind of of flimsy not of usb ports sending back awful,0
"5.0 out of 5 stars







  
  
    Old School Friendly",5.0,"Reviewed in the United States on May 18, 2022","Very Easy to use, Old School people, you will be pleased with the purchase of this laptop",3,all,"Very Easy to use, Old School people, you will be pleased with the purchase of this laptop",1
"1.0 out of 5 stars







  
  
    You get what you pay for!!",1.0,"Reviewed in the United States on February 25, 2024","After having this for a month, it’s terrible! It’s NOT my internet. I’ve had our cable company out and they said it’s just this version of a cheap computer! Total waste of money!! It lags and nothing works on it and I can’t get any work done!!",0,all,"After having this for a month, it’s terrible! It’s NOT my internet. I’ve had our cable company out and they said it’s just this version of a cheap computer! Total waste of money!! It lags and nothing works on it and I can’t get any work done!!",0
"1.0 out of 5 stars







  
  
    It’s 1998 Internet SLOW",1.0,"Reviewed in the United States on September 29, 2023","The media could not be loaded.
                
            
                
            
            
        
    
    








  
  
    For someone like me, who needs to run multiple websites and applications at any given time, for a device to come and estimate, which limits it from the very beginning is a problem. Also, the touchscreen is practically non-responsive, and, computer is just very very slow. I don’t have time to wait 30 minutes for the computer to warm up every time I need it.",2,all,"The media could not be loaded. For someone like me, who needs to run multiple websites and applications at any given time, for a device to come and estimate, which limits it from the very beginning is a problem. Also, the touchscreen is practically non-responsive, and, computer is just very very slow. I don’t have time to wait 30 minutes for the computer to warm up every time I need it.",0
"3.0 out of 5 stars







  
  
    Hp Laptop 14 -fq0070nr",3.0,"Reviewed in the United States on April 15, 2022",what I don't like is there are no set up instruction,1,all,what I don't like is there are no set up instruction,0
